,Median,Mean,Min,Max,95CIlo,95CIup,rBias,rRMSE
CL,1.00076,1.000856548,0.846791,1.18143,0.9976999689772038,1.0040131270227963,0.0008565480000000006,0.03598668995442623
V,1.01681,1.026391006,0.773047,1.42694,1.0175179265408105,1.0352640854591897,0.02639100600000003,0.10451602453737897
Q,0.9965195,1.008800544,0.724698,2.08151,0.9978993934965152,1.019701694503485,0.008800544000000002,0.12455503441674287
Vp,1.00336,0.998914536,0.771328,1.14076,0.9937415382363076,1.0040875337636923,-0.0010854639999999982,0.058968226059938414
Ka,0.9902964999999999,1.002070686,0.746386,1.37934,0.9935257707386087,1.0106156012613912,0.0020706859999999995,0.09741101895959202
BCL,0.9902139999999999,0.99130333,0.809826,1.20858,0.9854571477462387,0.9971495122537614,-0.008696670000000004,0.06719587372669544
BV,1.079205,1.07545143,0.537598,1.69815,1.0614363934892301,1.0894664665107698,0.07545143000000003,0.17665717417917123
BQ,1.13848,1.214251588,0.357593,3.54668,1.1731270914934013,1.2553760845065987,0.21425158800000005,0.5153555534354314
BVp,1.018515,1.019454678,0.663482,1.47425,1.0098798230517527,1.0290295329482473,0.01945467799999999,0.11084811941983497
BKa,0.957363,0.95714089,0.434539,1.50122,0.9437828337654828,0.9704989462345173,-0.04285910999999999,0.15816352504758488
RUV,1.1118000000000001,1.115605398,0.873445,1.57246,1.1103511161688489,1.1208596798311512,0.11560539799999997,0.13019516062120745
