,Median,Mean,Min,Max,95CIlo,95CIup,rBias,rRMSE
CL,1.019525,1.02428621,0.930893,1.23046,1.0150962003030093,1.0334762196969909,0.024286210000000003,0.05259640235710044
V,1.0457100000000001,1.07481929,0.767003,1.99985,1.040379920275919,1.109258659724081,0.07481929000000001,0.19017014964270815
Q,1.1095700000000002,1.20632679,0.82767,5.2885,1.10470460650618,1.30794897349382,0.20632678999999995,0.5556207001644288
Vp,1.01709,1.01270831,0.481581,1.27476,0.9910105713254496,1.0344060486745505,0.012708310000000007,0.11088054174285947
Ka,1.048185,1.0700118,0.845704,1.82519,1.0430128518487278,1.0970107481512723,0.07001180000000004,0.15390770691976408
BCL,1.2080950000000001,1.2255026,0.99199,1.88194,1.2028929519276366,1.2481122480723634,0.22550259999999991,0.2530329906435127
BV,1.5923500000000002,1.60526639,0.934569,2.32143,1.5472883875972114,1.6632443924027884,0.6052663900000002,0.6730355437453583
BQ,1.1339000000000001,1.22838389,0.01,4.71577,1.0889981919806049,1.367769588019395,0.22838389,0.743543355951588
BVp,1.14815,1.15314887,0.690837,2.95254,1.1046115374757899,1.2016862025242103,0.15314887,0.29011868722185064
BKa,0.9646334999999999,0.98410111,0.664633,1.52986,0.9531636496166239,1.015038570383376,-0.015898890000000002,0.15785854512724362
RUV,1.00688,1.00668748,0.85548,1.10812,0.9984873378554403,1.01488762214456,0.006687479999999998,0.04216225084598781
