,Median,Mean,Min,Max,95CIlo,95CIup,rBias,rRMSE
CL,0.998239,0.99971892,0.918862,1.32176,0.9902357136385818,1.0092021263614182,-0.0002810799999999947,0.04814288472162841
V,0.9575505,0.95124826,0.078479,1.71257,0.875262582352131,1.027233937647869,-0.048751739999999995,0.3888143290557589
Q,0.9193815000000001,1.08176424,0.527708,6.51466,0.9474724632957486,1.2160560167042513,0.08176424000000006,0.6866259089672632
Vp,1.04104,1.05841615,0.51723,1.65048,1.0092470210186608,1.1075852789813392,0.05841615,0.256354462468454
Ka,0.9518230000000001,0.96726391,0.711524,1.5467,0.9369075090759355,0.9976203109240646,-0.03273608999999999,0.15754471393680589
BCL,0.9902314999999999,0.99080177,0.75544,1.20404,0.9772668823974473,1.0043366576025528,-0.00919823,0.06932361139200699
BV,1.08824,1.211596148,0.01,5.0336,1.0761259026988974,1.3470663933011024,0.21159614800000004,0.7195384501081721
BQ,0.748291,0.819980984,0.01,5.8343,0.6307583023769566,1.0092036656230434,-0.180019016,0.9773227219580317
BVp,0.913767,0.94513528,0.587976,1.60034,0.9034086274762094,0.9868619325237906,-0.05486471999999998,0.21881767331730773
BKa,0.959465,0.94334349,0.326724,1.31632,0.9105887413011976,0.9760982386988023,-0.05665651000000004,0.17566865846960292
RUV,1.0018850000000001,0.99602031,0.841555,1.16938,0.9853684136452779,1.006672206354722,-0.003979689999999993,0.054221235211953635
