,Median,Mean,Min,Max,95CIlo,95CIup,rBias,rRMSE
CL,0.9992635000000001,0.99553307,0.890338,1.0649,0.9884965733329866,1.0025695666670134,-0.0044669299999999966,0.03599940714442393
V,0.8925350000000001,0.846856951,0.01,1.71483,0.7625195345762477,0.9311943674237524,-0.15314304899999998,0.45470872533123546
Q,1.00564,1.09935809,0.527789,2.74741,1.0174721179418882,1.1812440620581117,0.09935809000000001,0.42740813841387015
Vp,1.104795,1.12854023,0.544122,1.69407,1.07322420904075,1.18385625095925,0.12854023000000003,0.30883604794076414
Ka,0.9520925,0.95510733,0.702652,1.29715,0.9306133148324996,0.9796013451675004,-0.04489267,0.1322010347417523
BCL,1.041045,1.04960241,0.887165,1.31987,1.0352635017846366,1.0639413182153636,0.049602409999999986,0.08808587660612795
BV,1.3829099999999999,1.705872148,0.01,10.7195,1.400926034247476,2.010818261752524,0.705872148,1.7014107236039526
BQ,0.837747,0.83006769,0.01,3.6299,0.7059080578236071,0.954227322176393,-0.16993231000000006,0.6528092117365455
BVp,0.908628,0.94137335,0.585736,1.67405,0.9025858043383566,0.9801608956616434,-0.058626649999999975,0.20544967002862283
BKa,0.9305924999999999,0.93697849,0.333133,1.33492,0.9052680791260038,0.9686889008739962,-0.06302150999999999,0.17287627303956438
RUV,1.00268,1.00467849,0.841323,1.44695,0.9886157319877333,1.0207412480122668,0.004678490000000004,0.0816776534525203
