,Median,Mean,Min,Max,95CIlo,95CIup,rBias,rRMSE
CL,0.9920065,0.99615333,0.917417,1.09704,0.9892841283754826,1.0030225316245174,-0.0038466700000000086,0.03508343161108958
V,0.385779,0.604943557,0.01,2.33939,0.4786233194457351,0.7312637945542649,-0.3950564429999999,0.7531929889643878
Q,0.609947,1.011526239,0.0286531,31.7458,0.39441829206664436,1.6286341859333555,0.011526239000000015,3.132806598711196
Vp,1.288955,1.1891291,0.109825,1.66333,1.1125134641052876,1.2657447358947123,0.1891290999999999,0.4324894686318038
Ka,0.5635030000000001,0.66885814,0.310732,1.41813,0.6141990868156073,0.7235171931843927,-0.33114185999999995,0.4320301554604725
BCL,0.9714845000000001,0.96981951,0.820764,1.15483,0.958299815559017,0.981339204440983,-0.03018049,0.06580897530192975
BV,2.2164599999999997,3.448405104,0.01,12.099,2.790725134278353,4.106085073721647,2.4484051039999994,4.140283858953452
BQ,0.01,0.618127497,0.01,7.95722,0.3804324769395941,0.8558225170604059,-0.3818725029999997,1.2656564687864644
BVp,0.8339084999999999,0.92684657,0.444054,2.81089,0.8628812073854246,0.9908119326145755,-0.07315343000000003,0.3328619728077541
BKa,0.6996645,0.626471054,0.01,1.18202,0.5624717388738378,0.6904703691261622,-0.373528946,0.49505707948923844
RUV,1.6704249999999998,1.7413953,1.14092,2.86915,1.6776678599766521,1.8051227400233478,0.7413953000000001,0.8089064820552498
