,Median,Mean,Min,Max,95CIlo,95CIup,rBias,rRMSE
CL,1.003155,1.004102454,0.915393,1.1048,1.0013508201686347,1.0068540878313654,0.004102453999999995,0.031628399806850796
V,0.9401165,0.936481698,0.01,2.51548,0.8923553466419094,0.9806080493580906,-0.06351830199999998,0.5069167662723589
Q,1.069145,1.240739114,0.2305,6.05259,1.1775881804074466,1.3038900475925532,0.24073911399999998,0.7589440427532941
Vp,1.0661999999999998,1.074085656,0.15368,1.83415,1.044847737805051,1.1033235741949492,0.07408565600000003,0.3413696479914523
Ka,1.007455,0.997560376,0.554371,1.54135,0.9810052282419818,1.0141155237580182,-0.0024396239999999957,0.18869984435676676
BCL,0.9904925,0.992345644,0.811524,1.21654,0.9864993168004498,0.9981919711995503,-0.007654356000000007,0.06707057992947427
BV,1.0986099999999999,1.433314557,0.01,13.3043,1.2809024040296964,1.5857267099703038,0.43331455699999993,1.7903171964057638
BQ,0.939013,0.9499186588,0.01,4.18446,0.8775507753319538,1.0222865422680463,-0.050081341199999845,0.8263179187524791
BVp,0.8998335,0.985118354,0.340592,3.30844,0.9560161695139379,1.0142205384860623,-0.014881646000000004,0.3320201580278915
BKa,1.051155,1.041893342,0.359649,1.73804,1.0215762930892056,1.0622103909107945,0.041893342000000035,0.23531873003807824
RUV,1.165125,1.167958936,0.956264,1.71596,1.159868933872973,1.176048938127027,0.16795893600000006,0.19160329622376535
