,Median,Mean,Min,Max,95CIlo,95CIup,rBias,rRMSE
CL,0.996336,0.9966553,0.92941,1.1096,0.9901159075779059,1.0031946924220942,-0.003344700000000008,0.03336568253820084
V,0.9087879999999999,0.952042737,0.01,1.90948,0.8543280208178399,1.04975745318216,-0.047957263,0.4983673997969991
Q,0.9267735,0.99200983,0.314718,2.60748,0.9106118133758536,1.0734078466241463,-0.007990170000000005,0.41329914171925164
Vp,1.077605,1.05246682,0.407852,1.73121,0.9884066050674605,1.1165270349325396,0.05246681999999999,0.32941067397101753
Ka,0.974024,0.96278082,0.642742,1.36484,0.9300779971163311,0.9954836428836689,-0.037219180000000004,0.1701387352031277
BCL,0.988031,0.99113596,0.849518,1.17413,0.9790768074136087,1.0031951125863914,-0.008864039999999998,0.061857402919779945
BV,1.131165,1.41290694,0.01,9.26797,1.1665738033471966,1.6592400766528035,0.41290694000000006,1.3169300145587237
BQ,0.582891,0.67625788,0.01,2.31758,0.5596195203752421,0.7928962396247579,-0.3237421199999998,0.6748458774398943
BVp,0.920577,0.97746567,0.553693,1.87793,0.9218914186239482,1.0330399213760517,-0.022534329999999984,0.28302452502327424
BKa,0.9633579999999999,0.94243636,0.377067,1.3117,0.908163947018809,0.976708772981191,-0.05756364,0.18326124746285014
RUV,0.9914005,0.9912209,0.821249,1.15943,0.9779455070476102,1.0044962929523897,-0.008779100000000001,0.0679627325071616
