,Median,Mean,Min,Max,95CIlo,95CIup,rBias,rRMSE
CL,0.994813,0.99341535,0.92312,1.06369,0.9871653291230994,0.9996653708769007,-0.006584650000000006,0.03240465974902374
V,0.6049585,0.62940345,0.192122,1.26116,0.5797212259032001,0.6790856740967999,-0.3705965499999999,0.4482790413485443
Q,0.577258,0.57526458,0.122773,1.06539,0.5268038157180451,0.6237253442819549,-0.42473542,0.4908391277624473
Vp,1.1292200000000001,1.1220029200000001,0.870965,1.25708,1.1068632862794594,1.1371425537205408,0.12200292000000004,0.14419344740750187
Ka,0.5592785,0.58597065,0.18043,1.19374,0.5387253831664144,0.6332159168335857,-0.4140293500000003,0.47848215210004436
BCL,0.9635155,0.96405344,0.807346,1.1081,0.951730616505793,0.976376263494207,-0.03594655999999997,0.07214985989397345
BV,1.22001,1.23292942,0.576911,1.74537,1.1872913896462414,1.2785674503537587,0.2329294199999999,0.3285326143418033
BQ,0.01,0.22668507100000002,0.01,2.07486,0.15113907726627324,0.3022310647337268,-0.7733149289999998,0.8631910446115518
BVp,0.9952175,0.98983725,0.779371,1.23045,0.9690170589461256,1.0106574410538745,-0.010162750000000003,0.10618240375255215
BKa,0.793833,0.80607111,0.213628,1.21785,0.77192035131581,0.8402218686841899,-0.19392889000000002,0.2601249807688796
RUV,1.68151,1.6995936,1.38723,2.12411,1.6669516760460972,1.732235523953903,0.6995936000000001,0.7189510215751833
