,Median,Mean,Min,Max,95CIlo,95CIup
CL,0.9833745,0.98362295,0.899714,1.06092,0.9772527429502335,0.9899931570497665
V,0.25343550000000004,0.34471116,0.151492,1.17271,0.2985790993393166,0.39084322066068344
Q,0.1837495,0.269252252,0.0690428,0.93607,0.22615728424135115,0.3123472197586489
Vp,1.0631499999999998,1.06489118,0.78474,1.84884,1.0409139264262846,1.0888684335737155
Ka,0.220552,0.30889501,0.131326,1.03058,0.26608917698540413,0.3517008430145959
BCL,0.9311175,0.94050453,0.800523,1.09487,0.9279790920920188,0.9530299679079812
BV,1.380425,1.3551088,0.691793,1.79503,1.314138378852561,1.396079221147439
BQ,0.01,0.242778125,0.01,1.59749,0.15217840551685788,0.3333778444831421
BVp,1.2752,1.31746239,0.786412,5.89763,1.215148936175249,1.419775843824751
BKa,0.7052814999999999,0.71011703,0.20944,1.27517,0.6779151087482844,0.7423189512517157
RUV,2.225705,2.2667769,1.75862,2.94611,2.222757487704354,2.310796312295646
