,Median,Mean,Min,Max,95CIlo,95CIup,rBias,rRMSE
CL,0.9960344999999999,0.99440907,0.849749,1.0754,0.9871814094998163,1.0016367305001836,-0.005590929999999997,0.03711516848823401
V,1.01499,1.02203229,0.841983,1.23463,1.0089595944350267,1.0351049855649734,0.022032290000000013,0.06992599569237466
Q,0.9923795,1.00979091,0.844702,1.50619,0.9913975605851568,1.0281842594148431,0.009790909999999991,0.09388685213303297
Vp,1.01434,1.00861081,0.867027,1.11608,0.9998096232599742,1.0174119967400257,0.008610809999999991,0.045501935993867336
Ka,1.0003225,1.00138794,0.863,1.24364,0.986212826859212,1.0165630531407883,0.0013879400000000053,0.0770498711753628
BCL,0.996956,0.99297203,0.844398,1.18736,0.9799501580454434,1.0059939019545567,-0.007027969999999998,0.0664788447923849
BV,0.969565,0.97899166,0.726074,1.50892,0.9521812257778745,1.0058020942221257,-0.021008340000000007,0.13771659109736922
BQ,0.8497475,0.94438798,0.377876,3.92238,0.8532335370358652,1.0355424229641348,-0.055612020000000005,0.46608064414680433
BVp,0.9716184999999999,0.9668886800000001,0.776701,1.27251,0.9491116008106507,0.9846657591893494,-0.03311131999999999,0.09612894063402551
BKa,0.9707775,0.98891784,0.756897,1.2896,0.9664826418907361,1.0113530381092641,-0.011082160000000006,0.11443151681420638
RUV,1.0117500000000001,1.01445172,0.945943,1.12998,1.008087670836536,1.020815769163464,0.014451720000000006,0.03539244588270216
