,Median,Mean,Min,Max,95CIlo,95CIup,rBias,rRMSE
CL,1.15836,1.15273298,0.948312,1.36554,1.1323834704322098,1.17308248956779,0.15273298,0.18438923494607815
V,1.258105,1.29587353,0.190334,3.69398,1.1802724411841843,1.4114746188158156,0.29587353,0.6572221260058506
Q,9.078335,121151.12641703,0.489035,4717040.0,2997.249072668026,239305.00376139197,121150.12641703,611927.8191384292
Vp,1.017495,1.089013577,0.030948,2.06545,1.0166762767271724,1.1613508772728276,0.08901357699999998,0.3778588971447502
Ka,2.0834799999999998,1.98982274,0.814964,3.194,1.886527389072651,2.093118090927349,0.9898227400000003,1.120146736831376
BCL,2.226975,2.2400652,1.02202,3.73029,2.1305616702909407,2.3495687297090595,1.2400652000000003,1.358965732840972
BV,4.19289,4.05382106,0.01,10.2605,3.5610488286181177,4.546593291381882,3.0538210600000006,3.9476276529517875
BQ,0.202346,1.341421994,0.01,17.6302,0.8484098311221555,1.8344341568778446,0.3414219939999994,2.525986041545234
BVp,1.2708599999999999,2.111193968,0.01,25.3243,1.4699157443247461,2.7524721916752535,1.1111939680000003,3.439905415932443
BKa,0.01,0.403656134,0.01,2.98991,0.28160196784950703,0.5257103001504929,-0.5963438660000003,0.8599704025417177
RUV,8.071214999999999,7.45445757,0.984803,15.5507,6.6909478981736585,8.21796724182634,6.45445757,7.528839083784701
