,Median,Mean,Min,Max,95CIlo,95CIup
CL,0.999347,0.99766565,0.912922,1.06343,0.9913833870616655,1.0039479129383344
V,0.9963265,1.02411477,0.860404,1.39426,1.0044422538878046,1.0437872861121953
Q,0.9879595,1.0004834,0.815817,1.32249,0.9814023972202359,1.0195644027797641
Vp,1.009295,1.00100728,0.840265,1.08876,0.9898092004069656,1.0122053595930345
Ka,0.9748680000000001,0.99779461,0.829579,1.35792,0.9775861414969704,1.0180030785030296
BCL,0.9924934999999999,0.99178799,0.846328,1.16902,0.9793515875522254,1.0042243924477745
BV,1.065395,1.06758558,0.583198,1.51018,1.0382360733801574,1.0969350866198426
BQ,1.180295,1.24373187,0.466889,3.75614,1.1407763219623142,1.3466874180376858
BVp,1.01266,1.0099187,0.760086,1.23982,0.9898768128550468,1.0299605871449533
BKa,0.943375,0.9677257300000001,0.593103,1.4723,0.9359189387977366,0.9995325212022635
RUV,1.10798,1.10814172,0.926662,1.43326,1.0974960171723727,1.1187874228276276
