,Median,Mean,Min,Max,95CIlo,95CIup,rBias,rRMSE
CL,0.9993595,0.99968404,0.928261,1.12791,0.9926847824884462,1.0066832975115538,-0.00031596000000000846,0.03553355407132813
V,1.013665,1.02519558,0.88218,1.42407,1.0089094980465767,1.0414816619534235,0.025195580000000013,0.08643117521160987
Q,0.9859074999999999,1.00890291,0.821115,1.96697,0.983449569507543,1.034356250492457,0.00890291000000001,0.1295217461240004
Vp,1.012135,1.00228531,0.740032,1.09505,0.9917371937537405,1.0128334262462595,0.0022853099999999983,0.05359688655761639
Ka,0.991609,1.00284155,0.846229,1.24638,0.9860229441744459,1.0196601558255542,0.0028415499999999926,0.08542792987161753
BCL,0.9898875,0.98917283,0.846776,1.12674,0.9771138112307364,1.0012318487692637,-0.010827169999999997,0.062168412603427474
BV,1.0039799999999999,1.02023621,0.64353,1.47738,0.9910500662137788,1.0494223537862213,0.020236210000000004,0.1495407367210353
BQ,1.0047000000000001,1.11705105,0.01,3.9263,0.995240133816583,1.2388619661834168,0.11705105000000002,0.6293609994288573
BVp,0.978775,0.98324623,0.56177,1.28398,0.9619316094539779,1.0045608505460222,-0.01675377,0.10949428799206837
BKa,0.981595,0.9938188,0.68648,1.72184,0.9627638822676676,1.0248737177323324,-0.006181200000000006,0.157773276129451
RUV,1.03187,1.02967128,0.874381,1.10448,1.0220288506074062,1.037313709392594,0.029671279999999998,0.0488427215705677
