,Median,Mean,Min,Max,95CIlo,95CIup,rBias,rRMSE
CL,1.015525,1.01394554,0.942052,1.08067,1.0075274408979524,1.0203636391020474,0.013945540000000003,0.0354408795065811
V,1.4807100000000002,1.54601037,0.569161,2.66097,1.4314177410567952,1.660602998943205,0.5460103700000001,0.7978373804665022
Q,2.27381,15098.11831125,0.07562,942901.0,-4696.985171571774,34893.221794071775,15097.118311249997,101618.74531446738
Vp,0.7693490000000001,0.719455421,0.01,1.35372,0.6460083299142343,0.7929025120857658,-0.280544579,0.46661414367198906
Ka,1.5973899999999999,1.57638108,0.4897,2.30389,1.5008108238367135,1.6519513361632865,0.5763810799999999,0.6923817149266293
BCL,0.9763265,0.97508986,0.836622,1.16359,0.9624428380766232,0.9877368819233767,-0.024910140000000008,0.06886644251346223
BV,0.8311934999999999,0.896139254,0.01,1.88655,0.8189581503654313,0.9733203576345688,-0.10386074599999998,0.405346330339476
BQ,2.796485,5.0492733350000005,0.01,139.056,1.7430202301736646,8.355526439826336,4.049273334999999,17.26593223122555
BVp,1.02833,1.4303292,0.01,8.89579,1.1878440141281819,1.6728143858718183,0.4303292000000001,1.3040402393020087
BKa,1.4650349999999999,1.40254779,0.229017,2.11147,1.3232727647526084,1.4818228152473918,0.40254779000000007,0.5692154454450704
RUV,2.6153,2.6253204,2.1354,3.14655,2.585992165891392,2.6646486341086084,1.6253203999999994,1.6375369847920995
