,Median,Mean,Min,Max,95CIlo,95CIup,rBias,rRMSE
CL,0.9962645,0.9937492,0.862832,1.0653,0.9866085728823325,1.0008898271176674,-0.006250800000000004,0.03678480653150157
V,1.05205,1.05414664,0.81046,1.31259,1.0353385550745065,1.0729547249254934,0.05414663999999997,0.10976501839575306
Q,0.997558,1.0084869,0.71063,1.31505,0.9903039745385492,1.0266698254614508,0.008486899999999995,0.09269604032233525
Vp,0.9874324999999999,0.98403428,0.801477,1.1206,0.9722556809812467,0.9958128790187534,-0.015965719999999996,0.06188956139334001
Ka,1.010935,1.01957658,0.747846,1.34429,1.000812942078783,1.0383402179212171,0.019576579999999982,0.09724559662246923
BCL,0.9966845,0.99451332,0.844202,1.2232,0.9812512147792146,1.0077754252207856,-0.005486679999999997,0.06754906703411974
BV,1.02335,1.02076283,0.01,1.55324,0.9865769212887302,1.05494873871127,0.020762830000000006,0.17478441097171682
BQ,1.03179,1.11205639,0.345385,3.00704,1.0251257332083858,1.1989870467916142,0.11205639,0.45531306089798257
BVp,1.02385,1.01254698,0.425811,1.36085,0.9909049948651188,1.0341889651348812,0.01254698,0.11058095412628703
BKa,0.979582,0.99881817,0.68903,1.46306,0.9702972997103854,1.0273390402896145,-0.001181829999999998,0.1447927267980336
RUV,1.043745,1.06057462,0.940009,1.58408,1.0439343477258392,1.0772148922741607,0.06057462000000002,0.10394886817459821
