,Median,Mean,Min,Max,95CIlo,95CIup,rBias,rRMSE
CL,1.000059,0.99806865,0.918962,1.06785,0.9917350887037252,1.0044022112962747,-0.0019313499999999973,0.03221065663984514
V,0.3353775,0.52942981,0.01,2.27459,0.40581916748454755,0.6530404525154525,-0.47057019000000005,0.7843555706556273
Q,0.41159049999999997,27.917117193,0.0401994,2734.94,-25.67562999899116,81.50986438499116,26.91711719300001,273.3950752846442
Vp,1.289335,1.1758842,0.174797,1.71895,1.1011788269815508,1.2505895730184493,0.17588420000000007,0.41804665156400905
Ka,0.4054755,0.55182965,0.243953,1.57621,0.4907408255151737,0.6129184744848262,-0.44817035,0.5450061843780583
BCL,0.9496690000000001,0.95007715,0.761818,1.09996,0.9374998665340664,0.9626544334659337,-0.04992285000000003,0.08104954102676955
BV,1.49617,3.251359206,0.01,12.158,2.5101398246035025,3.9925785873964976,2.251359206,4.384930684605388
BQ,0.01,0.387165441,0.01,4.84183,0.230263155215307,0.544067726784693,-0.6128345590000004,1.004995730633907
BVp,0.915215,1.01934791,0.387829,2.88239,0.9342035066970753,1.1044923133029247,0.019347909999999996,0.43267346275473156
BKa,0.4693985,0.391497784,0.01,1.20377,0.32935672476394556,0.45363884323605447,-0.6085022160000004,0.6854135445579651
RUV,2.3301499999999997,2.427787,1.60766,3.60338,2.3400099725039767,2.515564027496023,1.4277870000000008,1.4957071326446232
