,Median,Mean,Min,Max,95CIlo,95CIup,rBias,rRMSE
CL,0.9949195,0.99664228,0.923077,1.06446,0.9902667927119397,1.0030177672880602,-0.0033577199999999985,0.032539247419385714
V,0.999927,0.962963129,0.01,1.91395,0.8546616766917186,1.0712645813082815,-0.037036871000000006,0.5510448703440595
Q,0.8143210000000001,1.03065011,0.383698,6.23233,0.8949654934854383,1.1663347265145618,0.030650110000000008,0.6894926531388207
Vp,1.02277,1.04438701,0.42342,1.75427,0.973827430083252,1.1149465899167477,0.04438700999999999,0.3609395991519772
Ka,0.950567,0.96868276,0.56186,1.46379,0.9317074051563573,1.0056581148436425,-0.03131724000000001,0.1903021613091664
BCL,0.9897095,0.98996374,0.8313,1.17603,0.9775400013057638,1.0023874786942362,-0.010036260000000002,0.06386339168365551
BV,1.0624099999999999,1.610041233,0.01,12.0297,1.1950148028262273,2.0250676631737727,0.6100412329999999,2.1934459800129873
BQ,0.47915300000000005,0.648965868,0.01,3.76358,0.5122071709307244,0.7857245650692756,-0.3510341319999998,0.7779634002182612
BVp,0.889318,0.98882276,0.573376,1.85538,0.9296257572384108,1.0480197627615893,-0.011177240000000001,0.30072491212076197
BKa,0.9324995,0.93748632,0.471248,1.44137,0.9012158426802455,0.9737567973197545,-0.06251367999999999,0.19445189586316713
RUV,1.0004735,1.00097961,0.825148,1.1275,0.9885165129788793,1.0134427070211205,0.0009796099999999908,0.06327724054832036
