,Median,Mean,Min,Max,95CIlo,95CIup,rBias,rRMSE
CL,0.622336,0.7167733,0.318529,1.19543,0.6648322605429905,0.7687143394570094,-0.28322669999999994,0.3869695743284735
V,0.011619299999999999,0.223094594,0.01,2.03773,0.13820903148027408,0.30798015651972593,-0.7769054059999998,0.8884141905243679
Q,0.057180949999999994,0.797882908,0.01,16.8938,0.2803482152081306,1.3154176007918692,-0.20211709200000003,2.6350587513867705
Vp,0.542072,1.33805655,0.137838,20.2335,0.7233908497588422,1.9527222502411576,0.33805655,3.138645951097267
Ka,8.297274999999999,1.3372404213950011e+19,0.085548,1.33724e+21,-1.2837018089487993e+19,3.958182651738802e+19,1.3372404213950013e+19,1.3372400000000383e+20
BCL,1.55342,1.6966429,1.01195,4.79342,1.5771802959606602,1.81610550403934,0.6966429000000001,0.9236362450894832
BV,0.01,1.223306523,0.01,25.2225,0.5424989999268378,1.904114046073162,0.22330652300000023,3.4633666361572333
BQ,0.01,0.495719244,0.01,5.37714,0.2937399929541814,0.6976984950458186,-0.5042807560000001,1.1426555428934138
BVp,0.01,0.507827759,0.01,3.53831,0.3514872336564757,0.6641682843435243,-0.4921722410000001,0.9338890723666297
BKa,0.994434,169.59424430200002,0.01,16534.7,-154.40799091554393,493.596479519544,168.59424430199996,1653.4346277673121
RUV,10.2831,9.08181917,0.86484,16.694,8.160648994923257,10.002989345076742,8.08181917,9.337252739115495
