,Median,Mean,Min,Max,95CIlo,95CIup,rBias,rRMSE
CL,0.995548,0.99670758,0.931404,1.05759,0.9905890419612682,1.002826118038732,-0.003292419999999998,0.03123513195425946
V,0.998985,1.02863658,0.01,2.06367,0.9353930680777636,1.1218800919222363,0.028636580000000002,0.47422168497587713
Q,0.7875030000000001,0.86883623,0.114407,2.01333,0.8090100102261042,0.9286624497738958,-0.13116377,0.33082402913118336
Vp,1.013725,0.99566478,0.316882,1.63976,0.9361866354584726,1.0551429245415276,-0.0043352199999999895,0.30197547773208344
Ka,0.9274625000000001,0.93800584,0.518333,1.44517,0.901183875501725,0.974827804498275,-0.06199416000000001,0.1969408319296433
BCL,0.9901575,0.99121412,0.836349,1.17329,0.9789163881594896,1.0035118518405104,-0.008785880000000008,0.06304536420895672
BV,1.0846749999999998,1.17855164,0.01,3.28792,1.0614715210243806,1.2956317589756194,0.17855163999999996,0.6206041575627897
BQ,0.5878515,0.573184014,0.01,1.86028,0.46783011497796606,0.6785379130220339,-0.42681598600000026,0.6842665834479051
BVp,0.925388,0.99977513,0.552081,2.4585,0.9376015311997066,1.0619487288002933,-0.0002248700000000037,0.3156280723226152
BKa,0.9122269999999999,0.89791396,0.483052,1.38299,0.8627817604439015,0.9330461595560985,-0.10208604000000002,0.205500695867435
RUV,0.9916815,0.99609045,0.831707,1.18221,0.9823173452261053,1.0098635547738948,-0.003909550000000005,0.07002920521346791
