,Median,Mean,Min,Max,95CIlo,95CIup,rBias,rRMSE
CL,0.9957925000000001,0.99698653,0.931675,1.05987,0.9908049540575748,1.0031681059424253,-0.003013469999999998,0.03152549673343785
V,0.9829444999999999,0.99490184,0.01,2.03242,0.9003810477389058,1.0894226322610943,-0.005098160000000015,0.4798675365873795
Q,0.852994,0.95059606,0.130309,3.45236,0.8598822099011864,1.0413099100988135,-0.04940393999999996,0.46315672899788474
Vp,1.031275,1.02142407,0.327721,1.73767,0.9599069677490749,1.0829411722509248,0.021424070000000003,0.31302925237234625
Ka,0.933398,0.94606325,0.580299,1.4696,0.9092229371354816,0.9829035628645184,-0.053936749999999985,0.19464434402173109
BCL,0.9918155,0.99147688,0.832505,1.17673,0.9787813174745713,1.0041724425254288,-0.008523119999999999,0.06501090691737811
BV,1.0695999999999999,1.247554731,0.01,3.67878,1.107817597357357,1.3872918646426429,0.24755473100000008,0.7513380622445094
BQ,0.6440585,0.68139512,0.01,2.80738,0.5579541162094517,0.8048361237905484,-0.3186048799999997,0.702998120486435
BVp,0.903986,0.99080081,0.560227,2.46935,0.9262218118666259,1.055379808133374,-0.009199190000000008,0.3279681853434414
BKa,0.9155115,0.91399786,0.330713,1.4273,0.875745965402968,0.9522497545970321,-0.08600213999999998,0.21238022321303837
RUV,1.0413700000000001,1.03294869,0.849925,1.21963,1.0186133971201212,1.0472839828798788,0.03294869000000001,0.07988533724151135
