,Median,Mean,Min,Max,95CIlo,95CIup,rBias,rRMSE
CL,0.9961679999999999,0.99677418,0.923301,1.06473,0.9904237410707356,1.0031246189292642,-0.0032258199999999947,0.032399371157477735
V,1.017035,0.972592359,0.01,1.96982,0.8685343695006061,1.0766503484993937,-0.02740764100000001,0.5289671264084513
Q,0.8207285,0.98738588,0.390555,6.25396,0.8566904956632748,1.1180812643367253,-0.012614119999999987,0.6636028328405931
Vp,1.021335,1.03729798,0.399226,1.75393,0.9696421267307549,1.104953833269245,0.037297980000000015,0.3454782389594749
Ka,0.935611,0.953998,0.562706,1.47897,0.916923082659467,0.991072917340533,-0.04600200000000001,0.19375327227228964
BCL,0.99012,0.99032235,0.8287,1.17567,0.9780141386274889,1.002630561372511,-0.009677650000000005,0.0632283841893022
BV,1.07252,1.669240943,0.01,12.028,1.2475094173832857,2.090972468616714,0.669240943,2.2431072768035483
BQ,0.500885,0.61019472,0.01,3.78035,0.4801430370424851,0.7402464029575149,-0.3898052799999999,0.7667021550944668
BVp,0.88811,0.98493378,0.573649,1.9201,0.9262037107142518,1.0436638492857482,-0.015066220000000016,0.29852713596036795
BKa,0.9188769999999999,0.923094,0.484487,1.39308,0.8869053519237455,0.9592826480762544,-0.07690600000000002,0.1991615082616116
RUV,1.00392,1.01001506,0.824924,1.76723,0.9905808097533442,1.0294493102466558,0.010015060000000004,0.09916615377345239
