,Median,Mean,Min,Max,95CIlo,95CIup,rBias,rRMSE
CL,0.99628,0.9967584899999999,0.925716,1.06507,0.9901277114985152,1.0033892685014847,-0.003241510000000005,0.033817257472627794
V,0.3901515,0.422486021,0.01,2.05955,0.34356708196794095,0.501404960032059,-0.5775139790000001,0.7028742219979415
Q,0.405155,0.52174467,0.104869,3.25451,0.438140685345316,0.605348654654684,-0.4782553300000002,0.6394224188575891
Vp,1.2006700000000001,1.215325,0.329446,1.6848,1.1676924461983895,1.2629575538016105,0.2153250000000001,0.32378494971316996
Ka,0.3819325,0.48178245,0.17291,1.41596,0.43122050566571796,0.532344394334282,-0.51821755,0.5783030592286452
BCL,0.9525399999999999,0.95758107,0.79211,1.09957,0.9453092256524417,0.9698529143475584,-0.042418929999999994,0.075369092354028
BV,1.55914,2.642718727,0.01,12.3952,2.0511936992718667,3.2342437547281335,1.6427187269999997,3.422865225420755
BQ,0.01,0.387558794,0.01,3.3731,0.24225193593844657,0.5328656520615533,-0.6124412060000003,0.9587622037887106
BVp,0.9153495,0.9510239,0.611354,1.87121,0.9130909124547698,0.9889568875452303,-0.048976099999999995,0.19869954402942144
BKa,0.5646755,0.525987069,0.01,1.32007,0.4692630521910875,0.5827110858089126,-0.47401293100000025,0.554626783909494
RUV,2.075485,2.1147428,1.43997,3.07894,2.0510792796870794,2.178406320312921,1.1147428000000001,1.1606482517688124
