,Median,Mean,Min,Max,95CIlo,95CIup,rBias,rRMSE
CL,0.9943295000000001,0.99440119,0.727334,1.28719,0.9833166185478247,1.0054857614521753,-0.005598809999999997,0.05654933456841027
V,1.029625,0.99377911,0.01,2.24424,0.9143379557436163,1.0732202642563835,-0.006220889999999993,0.4033357471893236
Q,0.916278,1.0297022200000001,0.366453,3.13371,0.9401626846449813,1.119241755355019,0.02970222,0.45552220027322493
Vp,1.0001345,1.0326645,0.384289,1.68847,0.9813534972651308,1.0839755027348694,0.032664499999999985,0.262523441897138
Ka,0.952604,0.97884492,0.653733,1.90843,0.9434897448435502,1.0142000951564498,-0.02115507999999999,0.18072510330963987
BCL,0.992167,0.9949848,0.853611,1.51667,0.9794734138250893,1.0104961861749107,-0.005015200000000001,0.07890402575002115
BV,1.021455,1.226280184,0.01,11.5692,0.9903159170109052,1.4622444509890946,0.22628018400000002,1.2190714892385588
BQ,0.714824,0.820589825,0.01,4.02752,0.6530989619060981,0.9880806880939019,-0.17941017499999998,0.868999216147703
BVp,0.932118,0.948820317,0.0202427,1.75981,0.9044723019197369,0.9931683320802631,-0.051179683000000004,0.23087937543913037
BKa,0.928059,0.924253125,0.0129875,1.43719,0.8853881095608733,0.9631181404391267,-0.075746875,0.21134120741457996
RUV,1.00862,1.03058537,0.861715,2.068,1.0014109200172228,1.0597598199827774,0.03058536999999999,0.15123096468987424
