design,per,X,Median,Mean,Min,Max,X95CIlo,X95CIup,rBias,rRMSE
SD1,A1,CL,1.001145,1.000512954,0.878882,1.09154,0.997755939684027,1.00326996831597,0.000512954,0.031426720422564
SD1,A1,V,0.8710985,0.857684952,0.389521,1.38788,0.842514319547328,0.872855584452672,-0.142315048,0.223940795943356
SD1,A1,Q,0.830006,0.824410452,0.332621,1.41733,0.808272326437453,0.840548577562547,-0.175589548,0.254287937359844
SD1,A1,Vp,1.081035,1.07621674,0.787231,1.23721,1.06973844434531,1.08269503565469,0.07621674,0.106116046970004
SD1,A1,Ka,0.8321635,0.824032234,0.355353,1.44839,0.80800595997443,0.84005850802557,-0.175967766,0.253629636335051
SD1,A1,BCL,0.9816755,0.98089866,0.785596,1.17578,0.975330371092808,0.986466948907192,-0.01910134,0.0662757541081805
SD1,A1,BV,1.129155,1.133485016,0.498384,1.68332,1.11605381375943,1.15091621824057,0.133485016,0.239348104695166
SD1,A1,BQ,0.5245715,0.584571407,0.01,3.99513,0.534295823812313,0.634846990187687,-0.415428593,0.707754892191577
SD1,A1,BVp,0.968519,0.9700764,0.581307,1.21063,0.961979343057115,0.978173456942885,-0.0299236,0.0970148172654878
SD1,A1,BKa,0.9137835,0.913632632,0.348871,1.51828,0.90001220516115,0.92725305883885,-0.0863673679999999,0.177644556760853
SD1,A1,RUV,1.334685,1.36150894,1.09841,1.81902,1.34901393913631,1.37400394086369,0.36150894,0.388547466452427
SD1,A2,CL,1.000142,0.999046972,0.921473,1.08689,0.996383926015239,1.00171001798476,-0.000953028000000001,0.0303665067961397
SD1,A2,V,0.62827,0.630768726,0.142745,1.50521,0.607559465387203,0.653977986612797,-0.369231274,0.454207184591276
SD1,A2,Q,0.574609,0.5789303288,0.0557907,1.56246,0.555493964193856,0.602366693406144,-0.4210696712,0.498646336934081
SD1,A2,Vp,1.131445,1.115437968,0.602152,1.29099,1.10757692848146,1.12329900751854,0.115437968,0.146127098353112
SD1,A2,Ka,0.585156,0.591591802,0.12653,1.50861,0.568598134973282,0.614585469026718,-0.408408198,0.485258448938446
SD1,A2,BCL,0.966953,0.967572254,0.764432,1.38551,0.961708602189181,0.973435905810819,-0.032427746,0.0742817936497094
SD1,A2,BV,1.23607,1.224449652,0.273534,1.71242,1.20486332606391,1.24403597793609,0.224449652,0.316559434878381
SD1,A2,BQ,0.01,0.2933468774,0.01,3.2795,0.248043282593156,0.338650472206844,-0.706653122600003,0.875193976471328
SD1,A2,BVp,0.991743,1.009250766,0.685461,1.97259,0.998144192880908,1.02035733911909,0.00925076600000001,0.126922575111089
SD1,A2,BKa,0.797312,0.7996380168,0.01,1.34949,0.782381193006363,0.816894840593637,-0.2003619832,0.280764053697542
SD1,A2,RUV,1.70996,1.71737872,1.30891,2.27855,1.7023213820631,1.7324360579369,0.71737872,0.737620008035845
SD1,A3,CL,0.9897135,0.990242478,0.910395,1.07832,0.987614925606911,0.992870030393089,-0.00975752200000002,0.0314965561821289
SD1,A3,V,0.2569835,0.344243446,0.135414,1.33464,0.324454600511248,0.364032291488752,-0.655756554,0.693458528155764
SD1,A3,Q,0.186611,0.2729369428,0.0618293,1.34492,0.253407020261737,0.292466865338263,-0.7270630572,0.760372490854795
SD1,A3,Vp,1.06161,1.054566884,0.689298,1.35151,1.0448974496831,1.0642363183169,0.0545668839999999,0.122974777696258
SD1,A3,Ka,0.2274405,0.310225922,0.127559,1.36266,0.291417185702042,0.329034658297958,-0.689774077999999,0.722317318212201
SD1,A3,BCL,0.9441745,0.944725196,0.726984,1.1282,0.938894302064335,0.950556089935665,-0.055274804,0.0864393861083476
SD1,A3,BV,1.389175,1.364291914,0.01,1.84821,1.34545571691535,1.38312811108465,0.364291914,0.422843838776438
SD1,A3,BQ,0.01,0.2783788954,0.01,2.51275,0.235231159171092,0.321526631628908,-0.721621104600004,0.873254091540927
SD1,A3,BVp,1.272985,1.289360992,0.666049,2.3774,1.26639435767886,1.31232762632114,0.289360992,0.390188287519905
SD1,A3,BKa,0.709824,0.7004000546,0.01,1.13484,0.685994794434271,0.714805314765729,-0.2995999454,0.34163661490147
SD1,A3,RUV,2.25806,2.26502716,1.75597,3.66212,2.24499365099886,2.28506066900114,1.26502716,1.28546777457158
SD1,All,CL,0.999108,0.998107629258517,0.919315,1.09347,0.995483540693647,1.00073171782339,-0.00189237074148297,0.0299374250645072
SD1,All,V,1.10261,1.10266124248497,1.02424,1.20907,1.10026670549286,1.10505577947708,0.10266124248497,0.106219826153766
SD1,All,Ka,2.23304,2.23494753507014,1.91048,2.59149,2.22389140886716,2.24600366127312,1.23494753507014,1.24134689966141
SD1,All,BCL,0.976913,0.976004208416834,0.77396,1.17871,0.970280594509248,0.981727822324419,-0.0239957915831663,0.0694457736796699
SD1,All,BV,0.750379,0.749569338677355,0.566306,0.925949,0.744150191665544,0.754988485689166,-0.250430661322645,0.257919798840616
SD1,All,BKa,1.65648,1.65634595190381,1.17654,2.25745,1.64185486008828,1.67083704371933,0.656345951903807,0.676766555457176
SD1,All,RUV,2.81062,2.81397214428858,2.23854,3.4806,2.79635138772609,2.83159290085107,1.81397214428858,1.82503327592558
SD1,B,CL,1.00119,0.999554526,0.688025,1.33844,0.995731021041862,1.00337803095814,-0.000445473999999999,0.0435799301908344
SD1,B,V,1.0169,1.02051724,0.774676,1.55213,1.0139295926487,1.0271048873513,0.02051724,0.0778342981974914
SD1,B,Q,0.997253,1.013736572,0.714742,1.75201,1.00394361398204,1.02352953001796,0.013736572,0.112455454987101
SD1,B,Vp,1.005,1.007057458,0.882582,1.15082,1.00305018540966,1.01106473059034,0.007057458,0.0462141673631149
SD1,B,Ka,0.996434,1.00216964,0.726391,1.32109,0.995161810958407,1.00917746904159,0.00216964,0.0798998302367407
SD1,B,BCL,0.992138,0.994369862,0.814928,1.33203,0.988344231464807,1.00039549253519,-0.00563013800000001,0.0689063471298109
SD1,B,BV,0.992785,0.9785085428,0.01,1.42923,0.964746621107624,0.992270464492376,-0.0214914572,0.158314358196555
SD1,B,BQ,0.905846,0.99860685,0.01,4.00213,0.954048466760264,1.04316523323974,-0.00139315000000001,0.507847408220975
SD1,B,BVp,0.98163,0.985241186,0.61247,1.4491,0.976558675468717,0.993923696531283,-0.014758814,0.100051759747413
SD1,B,BKa,0.9780305,0.980057168,0.658487,1.35945,0.969461051711674,0.990653284288326,-0.019942832,0.122402722415182
SD1,B,RUV,1.00478,1.007626244,0.831965,1.71014,1.00315341873223,1.01209906926777,0.007626244,0.0515454352668013
SD1,D,CL,1.003355,1.003972704,0.838812,1.31024,1.00051665790541,1.00742875009459,0.003972704,0.0395894423675303
SD1,D,V,1.018495,1.025653356,0.813563,1.36042,1.01878983752793,1.03251687447207,0.025653356,0.082324611053439
SD1,D,Q,1.012355,1.0258892,0.737038,1.87495,1.0164502641023,1.0353281358977,0.0258892,0.110649763496738
